Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,2.975,1.35
2,R_Trunk_Fwd_Tilt,Kinematics,2.761,1.363
3,R_Trunk_Fwd_Tilt,Kinematics,2.541,1.381
4,R_Trunk_Fwd_Tilt,Kinematics,2.308,1.41
5,R_Trunk_Fwd_Tilt,Kinematics,2.073,1.445
6,R_Trunk_Fwd_Tilt,Kinematics,1.842,1.486
7,R_Trunk_Fwd_Tilt,Kinematics,1.63,1.527
8,R_Trunk_Fwd_Tilt,Kinematics,1.432,1.57
9,R_Trunk_Fwd_Tilt,Kinematics,1.277,1.613
10,R_Trunk_Fwd_Tilt,Kinematics,1.152,1.647
11,R_Trunk_Fwd_Tilt,Kinematics,1.072,1.683
12,R_Trunk_Fwd_Tilt,Kinematics,1.037,1.703
13,R_Trunk_Fwd_Tilt,Kinematics,1.039,1.719
14,R_Trunk_Fwd_Tilt,Kinematics,1.09,1.724
15,R_Trunk_Fwd_Tilt,Kinematics,1.17,1.719
16,R_Trunk_Fwd_Tilt,Kinematics,1.284,1.709
17,R_Trunk_Fwd_Tilt,Kinematics,1.42,1.691
18,R_Trunk_Fwd_Tilt,Kinematics,1.574,1.67
19,R_Trunk_Fwd_Tilt,Kinematics,1.739,1.648
20,R_Trunk_Fwd_Tilt,Kinematics,1.909,1.627
21,R_Trunk_Fwd_Tilt,Kinematics,2.082,1.609
22,R_Trunk_Fwd_Tilt,Kinematics,2.254,1.595
23,R_Trunk_Fwd_Tilt,Kinematics,2.425,1.586
24,R_Trunk_Fwd_Tilt,Kinematics,2.593,1.582
25,R_Trunk_Fwd_Tilt,Kinematics,2.759,1.582
26,R_Trunk_Fwd_Tilt,Kinematics,2.923,1.583
27,R_Trunk_Fwd_Tilt,Kinematics,3.087,1.585
28,R_Trunk_Fwd_Tilt,Kinematics,3.25,1.585
29,R_Trunk_Fwd_Tilt,Kinematics,3.414,1.582
30,R_Trunk_Fwd_Tilt,Kinematics,3.574,1.575
31,R_Trunk_Fwd_Tilt,Kinematics,3.733,1.565
32,R_Trunk_Fwd_Tilt,Kinematics,3.881,1.547
33,R_Trunk_Fwd_Tilt,Kinematics,4.024,1.53
34,R_Trunk_Fwd_Tilt,Kinematics,4.15,1.508
