Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,-1.51,0.558
2,R_Trunk_Fwd_Tilt,Kinematics,-1.633,0.567
3,R_Trunk_Fwd_Tilt,Kinematics,-1.786,0.57
4,R_Trunk_Fwd_Tilt,Kinematics,-1.971,0.567
5,R_Trunk_Fwd_Tilt,Kinematics,-2.184,0.566
6,R_Trunk_Fwd_Tilt,Kinematics,-2.415,0.571
7,R_Trunk_Fwd_Tilt,Kinematics,-2.656,0.585
8,R_Trunk_Fwd_Tilt,Kinematics,-2.899,0.603
9,R_Trunk_Fwd_Tilt,Kinematics,-3.137,0.623
10,R_Trunk_Fwd_Tilt,Kinematics,-3.357,0.643
11,R_Trunk_Fwd_Tilt,Kinematics,-3.553,0.658
12,R_Trunk_Fwd_Tilt,Kinematics,-3.719,0.67
13,R_Trunk_Fwd_Tilt,Kinematics,-3.849,0.676
14,R_Trunk_Fwd_Tilt,Kinematics,-3.946,0.679
15,R_Trunk_Fwd_Tilt,Kinematics,-4.007,0.681
16,R_Trunk_Fwd_Tilt,Kinematics,-4.035,0.681
17,R_Trunk_Fwd_Tilt,Kinematics,-4.033,0.683
18,R_Trunk_Fwd_Tilt,Kinematics,-4.002,0.686
19,R_Trunk_Fwd_Tilt,Kinematics,-3.947,0.69
20,R_Trunk_Fwd_Tilt,Kinematics,-3.872,0.695
21,R_Trunk_Fwd_Tilt,Kinematics,-3.781,0.7
22,R_Trunk_Fwd_Tilt,Kinematics,-3.68,0.703
23,R_Trunk_Fwd_Tilt,Kinematics,-3.574,0.705
24,R_Trunk_Fwd_Tilt,Kinematics,-3.466,0.705
25,R_Trunk_Fwd_Tilt,Kinematics,-3.356,0.705
26,R_Trunk_Fwd_Tilt,Kinematics,-3.244,0.705
27,R_Trunk_Fwd_Tilt,Kinematics,-3.129,0.706
28,R_Trunk_Fwd_Tilt,Kinematics,-3.011,0.707
29,R_Trunk_Fwd_Tilt,Kinematics,-2.887,0.708
30,R_Trunk_Fwd_Tilt,Kinematics,-2.759,0.708
31,R_Trunk_Fwd_Tilt,Kinematics,-2.625,0.708
32,R_Trunk_Fwd_Tilt,Kinematics,-2.487,0.707
33,R_Trunk_Fwd_Tilt,Kinematics,-2.345,0.706
34,R_Trunk_Fwd_Tilt,Kinematics,-2.2,0.705
35,R_Trunk_Fwd_Tilt,Kinematics,-2.052,0.702
36,R_Trunk_Fwd_Tilt,Kinematics,-1.904,0.697
37,R_Trunk_Fwd_Tilt,Kinematics,-1.758,0.69
38,R_Trunk_Fwd_Tilt,Kinematics,-1.617,0.682
39,R_Trunk_Fwd_Tilt,Kinematics,-1.486,0.673
40,R_Trunk_Fwd_Tilt,Kinematics,-1.367,0.661
41,R_Trunk_Fwd_Tilt,Kinematics,-1.264,0.648
42,R_Trunk_Fwd_Tilt,Kinematics,-1.177,0.633
43,R_Trunk_Fwd_Tilt,Kinematics,-1.106,0.616
44,R_Trunk_Fwd_Tilt,Kinematics,-1.048,0.597
45,R_Trunk_Fwd_Tilt,Kinematics,-1.002,0.577
46,R_Trunk_Fwd_Tilt,Kinematics,-0.965,0.557
47,R_Trunk_Fwd_Tilt,Kinematics,-0.938,0.538
48,R_Trunk_Fwd_Tilt,Kinematics,-0.922,0.52
49,R_Trunk_Fwd_Tilt,Kinematics,-0.921,0.503
50,R_Trunk_Fwd_Tilt,Kinematics,-0.942,0.489
51,R_Trunk_Fwd_Tilt,Kinematics,-0.992,0.477
52,R_Trunk_Fwd_Tilt,Kinematics,-1.073,0.468
53,R_Trunk_Fwd_Tilt,Kinematics,-1.188,0.466
54,R_Trunk_Fwd_Tilt,Kinematics,-1.336,0.47
55,R_Trunk_Fwd_Tilt,Kinematics,-1.512,0.479
56,R_Trunk_Fwd_Tilt,Kinematics,-1.712,0.493
57,R_Trunk_Fwd_Tilt,Kinematics,-1.931,0.509
58,R_Trunk_Fwd_Tilt,Kinematics,-2.159,0.529
59,R_Trunk_Fwd_Tilt,Kinematics,-2.385,0.552
60,R_Trunk_Fwd_Tilt,Kinematics,-2.598,0.579
61,R_Trunk_Fwd_Tilt,Kinematics,-2.789,0.609
62,R_Trunk_Fwd_Tilt,Kinematics,-2.947,0.643
63,R_Trunk_Fwd_Tilt,Kinematics,-3.071,0.676
64,R_Trunk_Fwd_Tilt,Kinematics,-3.157,0.707
65,R_Trunk_Fwd_Tilt,Kinematics,-3.208,0.733
66,R_Trunk_Fwd_Tilt,Kinematics,-3.231,0.752
67,R_Trunk_Fwd_Tilt,Kinematics,-3.227,0.763
68,R_Trunk_Fwd_Tilt,Kinematics,-3.203,0.767
69,R_Trunk_Fwd_Tilt,Kinematics,-3.162,0.765
70,R_Trunk_Fwd_Tilt,Kinematics,-3.107,0.756
71,R_Trunk_Fwd_Tilt,Kinematics,-3.044,0.741
72,R_Trunk_Fwd_Tilt,Kinematics,-2.976,0.722
73,R_Trunk_Fwd_Tilt,Kinematics,-2.908,0.699
74,R_Trunk_Fwd_Tilt,Kinematics,-2.84,0.676
75,R_Trunk_Fwd_Tilt,Kinematics,-2.775,0.654
76,R_Trunk_Fwd_Tilt,Kinematics,-2.712,0.634
77,R_Trunk_Fwd_Tilt,Kinematics,-2.649,0.618
78,R_Trunk_Fwd_Tilt,Kinematics,-2.583,0.604
79,R_Trunk_Fwd_Tilt,Kinematics,-2.513,0.592
80,R_Trunk_Fwd_Tilt,Kinematics,-2.437,0.58
81,R_Trunk_Fwd_Tilt,Kinematics,-2.355,0.568
82,R_Trunk_Fwd_Tilt,Kinematics,-2.267,0.555
83,R_Trunk_Fwd_Tilt,Kinematics,-2.177,0.542
84,R_Trunk_Fwd_Tilt,Kinematics,-2.086,0.529
85,R_Trunk_Fwd_Tilt,Kinematics,-1.996,0.514
86,R_Trunk_Fwd_Tilt,Kinematics,-1.909,0.499
87,R_Trunk_Fwd_Tilt,Kinematics,-1.829,0.482
88,R_Trunk_Fwd_Tilt,Kinematics,-1.758,0.463
89,R_Trunk_Fwd_Tilt,Kinematics,-1.698,0.442
90,R_Trunk_Fwd_Tilt,Kinematics,-1.652,0.419
91,R_Trunk_Fwd_Tilt,Kinematics,-1.619,0.396
92,R_Trunk_Fwd_Tilt,Kinematics,-1.6,0.374
93,R_Trunk_Fwd_Tilt,Kinematics,-1.595,0.352
94,R_Trunk_Fwd_Tilt,Kinematics,-1.602,0.333
95,R_Trunk_Fwd_Tilt,Kinematics,-1.619,0.316
96,R_Trunk_Fwd_Tilt,Kinematics,-1.645,0.302
97,R_Trunk_Fwd_Tilt,Kinematics,-1.679,0.289
98,R_Trunk_Fwd_Tilt,Kinematics,-1.721,0.275
99,R_Trunk_Fwd_Tilt,Kinematics,-1.773,0.261
100,R_Trunk_Fwd_Tilt,Kinematics,-1.839,0.25
1,R_Trunk_Lat_Tilt,Kinematics,-0.71,0.406
2,R_Trunk_Lat_Tilt,Kinematics,-0.737,0.415
3,R_Trunk_Lat_Tilt,Kinematics,-0.753,0.422
4,R_Trunk_Lat_Tilt,Kinematics,-0.759,0.427
5,R_Trunk_Lat_Tilt,Kinematics,-0.758,0.428
6,R_Trunk_Lat_Tilt,Kinematics,-0.755,0.427
7,R_Trunk_Lat_Tilt,Kinematics,-0.752,0.424
8,R_Trunk_Lat_Tilt,Kinematics,-0.748,0.423
9,R_Trunk_Lat_Tilt,Kinematics,-0.739,0.424
10,R_Trunk_Lat_Tilt,Kinematics,-0.72,0.43
11,R_Trunk_Lat_Tilt,Kinematics,-0.687,0.439
12,R_Trunk_Lat_Tilt,Kinematics,-0.639,0.446
13,R_Trunk_Lat_Tilt,Kinematics,-0.579,0.45
14,R_Trunk_Lat_Tilt,Kinematics,-0.515,0.449
15,R_Trunk_Lat_Tilt,Kinematics,-0.457,0.443
16,R_Trunk_Lat_Tilt,Kinematics,-0.412,0.433
17,R_Trunk_Lat_Tilt,Kinematics,-0.387,0.424
18,R_Trunk_Lat_Tilt,Kinematics,-0.381,0.415
19,R_Trunk_Lat_Tilt,Kinematics,-0.394,0.409
20,R_Trunk_Lat_Tilt,Kinematics,-0.417,0.407
21,R_Trunk_Lat_Tilt,Kinematics,-0.446,0.409
22,R_Trunk_Lat_Tilt,Kinematics,-0.473,0.413
23,R_Trunk_Lat_Tilt,Kinematics,-0.493,0.417
24,R_Trunk_Lat_Tilt,Kinematics,-0.505,0.421
25,R_Trunk_Lat_Tilt,Kinematics,-0.507,0.422
26,R_Trunk_Lat_Tilt,Kinematics,-0.503,0.419
27,R_Trunk_Lat_Tilt,Kinematics,-0.494,0.413
28,R_Trunk_Lat_Tilt,Kinematics,-0.483,0.407
29,R_Trunk_Lat_Tilt,Kinematics,-0.47,0.4
30,R_Trunk_Lat_Tilt,Kinematics,-0.457,0.393
31,R_Trunk_Lat_Tilt,Kinematics,-0.444,0.387
32,R_Trunk_Lat_Tilt,Kinematics,-0.432,0.383
33,R_Trunk_Lat_Tilt,Kinematics,-0.421,0.38
34,R_Trunk_Lat_Tilt,Kinematics,-0.411,0.379
35,R_Trunk_Lat_Tilt,Kinematics,-0.402,0.379
36,R_Trunk_Lat_Tilt,Kinematics,-0.395,0.379
37,R_Trunk_Lat_Tilt,Kinematics,-0.389,0.38
38,R_Trunk_Lat_Tilt,Kinematics,-0.387,0.381
39,R_Trunk_Lat_Tilt,Kinematics,-0.385,0.382
40,R_Trunk_Lat_Tilt,Kinematics,-0.385,0.384
41,R_Trunk_Lat_Tilt,Kinematics,-0.385,0.385
42,R_Trunk_Lat_Tilt,Kinematics,-0.38,0.387
43,R_Trunk_Lat_Tilt,Kinematics,-0.369,0.39
44,R_Trunk_Lat_Tilt,Kinematics,-0.347,0.394
45,R_Trunk_Lat_Tilt,Kinematics,-0.311,0.398
46,R_Trunk_Lat_Tilt,Kinematics,-0.26,0.402
47,R_Trunk_Lat_Tilt,Kinematics,-0.196,0.406
48,R_Trunk_Lat_Tilt,Kinematics,-0.121,0.408
49,R_Trunk_Lat_Tilt,Kinematics,-0.037,0.41
50,R_Trunk_Lat_Tilt,Kinematics,0.05,0.411
51,R_Trunk_Lat_Tilt,Kinematics,0.136,0.413
52,R_Trunk_Lat_Tilt,Kinematics,0.219,0.416
53,R_Trunk_Lat_Tilt,Kinematics,0.297,0.422
54,R_Trunk_Lat_Tilt,Kinematics,0.37,0.43
55,R_Trunk_Lat_Tilt,Kinematics,0.439,0.441
56,R_Trunk_Lat_Tilt,Kinematics,0.505,0.455
57,R_Trunk_Lat_Tilt,Kinematics,0.569,0.469
58,R_Trunk_Lat_Tilt,Kinematics,0.629,0.481
59,R_Trunk_Lat_Tilt,Kinematics,0.68,0.488
60,R_Trunk_Lat_Tilt,Kinematics,0.716,0.488
61,R_Trunk_Lat_Tilt,Kinematics,0.731,0.482
62,R_Trunk_Lat_Tilt,Kinematics,0.722,0.47
63,R_Trunk_Lat_Tilt,Kinematics,0.69,0.457
64,R_Trunk_Lat_Tilt,Kinematics,0.64,0.444
65,R_Trunk_Lat_Tilt,Kinematics,0.578,0.434
66,R_Trunk_Lat_Tilt,Kinematics,0.514,0.427
67,R_Trunk_Lat_Tilt,Kinematics,0.456,0.423
68,R_Trunk_Lat_Tilt,Kinematics,0.408,0.42
69,R_Trunk_Lat_Tilt,Kinematics,0.374,0.418
70,R_Trunk_Lat_Tilt,Kinematics,0.353,0.415
71,R_Trunk_Lat_Tilt,Kinematics,0.34,0.413
72,R_Trunk_Lat_Tilt,Kinematics,0.33,0.412
73,R_Trunk_Lat_Tilt,Kinematics,0.319,0.411
74,R_Trunk_Lat_Tilt,Kinematics,0.303,0.412
75,R_Trunk_Lat_Tilt,Kinematics,0.283,0.414
76,R_Trunk_Lat_Tilt,Kinematics,0.258,0.416
77,R_Trunk_Lat_Tilt,Kinematics,0.229,0.416
78,R_Trunk_Lat_Tilt,Kinematics,0.198,0.414
79,R_Trunk_Lat_Tilt,Kinematics,0.165,0.411
80,R_Trunk_Lat_Tilt,Kinematics,0.131,0.407
81,R_Trunk_Lat_Tilt,Kinematics,0.095,0.401
82,R_Trunk_Lat_Tilt,Kinematics,0.058,0.393
83,R_Trunk_Lat_Tilt,Kinematics,0.02,0.386
84,R_Trunk_Lat_Tilt,Kinematics,-0.017,0.379
85,R_Trunk_Lat_Tilt,Kinematics,-0.054,0.372
86,R_Trunk_Lat_Tilt,Kinematics,-0.09,0.367
87,R_Trunk_Lat_Tilt,Kinematics,-0.124,0.362
88,R_Trunk_Lat_Tilt,Kinematics,-0.155,0.358
89,R_Trunk_Lat_Tilt,Kinematics,-0.183,0.353
90,R_Trunk_Lat_Tilt,Kinematics,-0.209,0.349
91,R_Trunk_Lat_Tilt,Kinematics,-0.232,0.344
92,R_Trunk_Lat_Tilt,Kinematics,-0.255,0.339
93,R_Trunk_Lat_Tilt,Kinematics,-0.278,0.336
94,R_Trunk_Lat_Tilt,Kinematics,-0.304,0.337
95,R_Trunk_Lat_Tilt,Kinematics,-0.335,0.34
96,R_Trunk_Lat_Tilt,Kinematics,-0.372,0.346
97,R_Trunk_Lat_Tilt,Kinematics,-0.414,0.353
98,R_Trunk_Lat_Tilt,Kinematics,-0.46,0.36
99,R_Trunk_Lat_Tilt,Kinematics,-0.508,0.366
100,R_Trunk_Lat_Tilt,Kinematics,-0.554,0.37
1,R_Pelvis_Fwd_Tilt,Kinematics,3.163,0.519
2,R_Pelvis_Fwd_Tilt,Kinematics,3.036,0.506
3,R_Pelvis_Fwd_Tilt,Kinematics,2.893,0.508
4,R_Pelvis_Fwd_Tilt,Kinematics,2.741,0.527
5,R_Pelvis_Fwd_Tilt,Kinematics,2.586,0.559
6,R_Pelvis_Fwd_Tilt,Kinematics,2.435,0.597
7,R_Pelvis_Fwd_Tilt,Kinematics,2.294,0.636
8,R_Pelvis_Fwd_Tilt,Kinematics,2.162,0.67
